"run","random_seed","tick","ChosenAction","ID"
1,1772105624,6.0,"takeCar",15
1,1772105624,6.0,"takeCar",9
1,1772105624,6.0,"takeCar",6
1,1772105624,6.0,"takeCar",2
1,1772105624,7.0,"takeCar",5
1,1772105624,7.0,"takeCar",4
1,1772105624,7.0,"takeCar",7
1,1772105624,7.0,"takeCar",14
1,1772105624,7.0,"takeCar",10
1,1772105624,7.0,"takeCar",12
1,1772105624,7.0,"takeCar",3
1,1772105624,7.0,"takeCar",8
1,1772105624,7.0,"takeCar",13
1,1772105624,7.0,"takeCar",1
1,1772105624,7.0,"takeCar",11
1,1772105624,7.0,"takeCar",15
1,1772105624,7.0,"takeCar",9
1,1772105624,7.0,"takeCar",6
1,1772105624,7.0,"takeCar",2
1,1772105624,8.0,"takeCar",5
1,1772105624,8.0,"takeCar",4
1,1772105624,8.0,"takeCar",7
1,1772105624,8.0,"takeCar",14
1,1772105624,8.0,"takeCar",10
1,1772105624,8.0,"takeCar",12
1,1772105624,8.0,"takeCar",3
1,1772105624,8.0,"takeCar",8
1,1772105624,8.0,"takeCar",13
1,1772105624,8.0,"takeCar",1
1,1772105624,8.0,"takeCar",11
1,1772105624,8.0,"takeCar",15
1,1772105624,8.0,"takeCar",9
1,1772105624,8.0,"takeCar",6
1,1772105624,8.0,"takeCar",2
1,1772105624,9.0,"takeCar",5
1,1772105624,9.0,"takeCar",4
1,1772105624,9.0,"takeCar",7
1,1772105624,9.0,"takeCar",14
1,1772105624,9.0,"takeCar",10
1,1772105624,9.0,"takeCar",12
1,1772105624,9.0,"takeCar",3
1,1772105624,9.0,"takeCar",8
1,1772105624,9.0,"takeCar",13
1,1772105624,9.0,"takeCar",1
1,1772105624,9.0,"takeCar",11
1,1772105624,9.0,"takeCar",15
1,1772105624,9.0,"takeCar",9
1,1772105624,9.0,"takeCar",6
1,1772105624,9.0,"takeCar",2
1,1772105624,10.0,"takeCar",5
1,1772105624,10.0,"takeCar",4
1,1772105624,10.0,"takeCar",7
1,1772105624,10.0,"takeCar",14
1,1772105624,10.0,"takeCar",10
1,1772105624,10.0,"takeCar",12
1,1772105624,10.0,"takeCar",3
1,1772105624,10.0,"takeCar",8
1,1772105624,10.0,"takeCar",13
1,1772105624,10.0,"takeCar",1
1,1772105624,10.0,"takeCar",11
1,1772105624,10.0,"takeCar",15
1,1772105624,10.0,"takeCar",9
1,1772105624,10.0,"takeCar",6
1,1772105624,10.0,"takeCar",2
1,1772105624,11.0,"takeCar",5
1,1772105624,11.0,"takeCar",4
1,1772105624,11.0,"takeCar",7
1,1772105624,11.0,"takeCar",14
1,1772105624,11.0,"takeCar",10
1,1772105624,11.0,"takeCar",12
1,1772105624,11.0,"takeCar",3
1,1772105624,11.0,"takeCar",8
1,1772105624,11.0,"takeCar",13
1,1772105624,11.0,"takeCar",1
1,1772105624,11.0,"takeCar",11
1,1772105624,11.0,"takeCar",15
1,1772105624,11.0,"takeCar",9
1,1772105624,11.0,"takeCar",6
1,1772105624,11.0,"takeCar",2
1,1772105624,12.0,"takeCar",5
1,1772105624,12.0,"takeCar",4
1,1772105624,12.0,"takeCar",7
1,1772105624,12.0,"takeCar",14
1,1772105624,12.0,"takeCar",10
1,1772105624,12.0,"takeCar",12
1,1772105624,12.0,"takeCar",3
1,1772105624,12.0,"takeCar",8
1,1772105624,12.0,"takeCar",13
1,1772105624,12.0,"takeCar",1
1,1772105624,12.0,"takeCar",11
1,1772105624,12.0,"takeCar",15
1,1772105624,12.0,"takeCar",9
1,1772105624,12.0,"takeCar",6
1,1772105624,12.0,"takeCar",2
1,1772105624,13.0,"takeCar",5
1,1772105624,13.0,"takeCar",4
1,1772105624,13.0,"takeCar",7
1,1772105624,13.0,"takeCar",14
1,1772105624,13.0,"takeCar",10
1,1772105624,13.0,"takeCar",12
1,1772105624,13.0,"takeCar",3
1,1772105624,13.0,"takeCar",8
1,1772105624,13.0,"takeCar",13
1,1772105624,13.0,"takeCar",1
1,1772105624,13.0,"takeCar",11
1,1772105624,13.0,"takeCar",15
1,1772105624,13.0,"takeCar",9
1,1772105624,13.0,"takeCar",6
1,1772105624,13.0,"takeCar",2
1,1772105624,14.0,"takeCar",5
1,1772105624,14.0,"takeCar",4
1,1772105624,14.0,"takeCar",7
1,1772105624,14.0,"takeCar",14
1,1772105624,14.0,"takeCar",10
1,1772105624,14.0,"takeCar",12
1,1772105624,14.0,"takeCar",3
1,1772105624,14.0,"takeCar",8
1,1772105624,14.0,"takeCar",13
1,1772105624,14.0,"takeCar",1
1,1772105624,14.0,"takeCar",11
1,1772105624,14.0,"takeCar",15
1,1772105624,14.0,"takeCar",9
1,1772105624,14.0,"takeCar",6
1,1772105624,14.0,"takeCar",2
1,1772105624,14.0,"takeCar",5
1,1772105624,14.0,"takeCar",4
1,1772105624,14.0,"takeCar",7
1,1772105624,14.0,"takeCar",14
1,1772105624,14.0,"takeCar",10
1,1772105624,14.0,"takeCar",12
1,1772105624,14.0,"takeCar",3
1,1772105624,14.0,"takeCar",8
1,1772105624,14.0,"takeCar",13
1,1772105624,14.0,"takeCar",1
1,1772105624,14.0,"takeCar",11
1,1772105624,14.0,"takeCar",15
1,1772105624,14.0,"takeCar",9
1,1772105624,14.0,"takeCar",6
1,1772105624,14.0,"takeCar",2
